countryName,usableImage,imageName,caption
Chile,CLP_1000,CLP_1000.png,Ignacio Carrera Pinto
Chile,CLP_10000,CLP_10000.png,Arturo Prat Chacón
Chile,CLP_20000,CLP_20000.png,Andrés Bello
Chile,CLP_5000,CLP_5000.png,Gabriela Mistral
Dominican Republic,DOP_100,DOP_100.png,Francisco del Rosario Sánchez
Dominican Republic,DOP_200,DOP_200.png,María Teresa Mirabal
Dominican Republic,DOP_2000,DOP_2000.png,Emilio Prud'Homme
Dominican Republic,DOP_500,DOP_500.png,Pedro Henriquez Ureña
England,GBP_10,GBP_10.png,Jane Austen
England,GBP_20,GBP_20.png,J.M.W. Turner
England,GBP_5,GBP_5.png,Winston Churchill
England,GBP_50,GBP_50.png,Alan Turing
Georgia,GEL_10,GEL_10.png,Akaki Tsereteli 
Georgia,GEL_20,GEL_20.png,Ilia Chavchavadze
Georgia,GEL_5,GEL_5.png,Ivane Javakhishvili
Georgia,GEL_50,GEL_50.png,Queen Tamar
Indonesia,IDR_1000,IDR_1000.png,Tjut Meutia
Indonesia,IDR_10000,IDR_10000.png,Frans Kaisiepo
Indonesia,IDR_100000,IDR_100000.png,Mohammad Hatta
Indonesia,IDR_5000,IDR_5000.png,Idham Chalid
Israel,ILS_100,ILS_100.png,Leah Goldberg
Israel,ILS_20,ILS_20.png,Rachel Bluwstein
Israel,ILS_200,ILS_200.png,Nathan Alterman
Israel,ILS_50,ILS_50.png,Shaul Tchernichovsky
Japan,JPY_1000,JPY_1000.png,Hideyo Noguchi
Japan,JPY_10000,JPY_10000.png,Yukichi Fukuzawa
Japan,JPY_5000,JPY_5000.png,Ichiyo Higuchi
Kyrgyzstan,KGS_100,KGS_100.png,Toktogul Satylganov
Kyrgyzstan,KGS_20,KGS_20.png,Togolok Moldo
Kyrgyzstan,KGS_200,KGS_200.png,Alykul Osmonov
Kyrgyzstan,KGS_50,KGS_50.png,Kurmanjan Datka
South Korea,KRW_1000,KRW_1000.png,Yi Hwang
South Korea,KRW_10000,KRW_10000.png,King Sejong the Great
South Korea,KRW_5000,KRW_5000.png,Yi I
South Korea,KRW_50000,KRW_50000.png,Shin Saimdang
Nigeria,NGN_100,NGN_100.png,Chief Obafemi Awolowo
Nigeria,NGN_1000,NGN_1000.png,Alhaji Aliyu Mai-Bornu
Nigeria,NGN_200,NGN_200.png,Alhaji Sir Ahmadu Bello
Nigeria,NGN_500,NGN_500.png,Dr. Nnamdi Azikiwe
New Zealand,NZD_10,NZD_10.png,Kate Sheppard
New Zealand,NZD_100,NZD_100.png,Rutherford of Nelson
New Zealand,NZD_5,NZD_5.png,Edmund Hillary
New Zealand,NZD_50,NZD_50.png,Apirana Ngata
Serbia,RSD_10,RSD_10.png,Vuk Stefanovic Karadžic
Serbia,RSD_100,RSD_100.png,Nikola Tesla
Serbia,RSD_50,RSD_50.png,Stevan Stevanovic Mokranjac
Serbia,RSD_500,RSD_500.png,Jovan Cvijic
Turkey,TRY_10,TRY_10.png,Cahit Arf
Turkey,TRY_100,TRY_100.png,Itri (Buhurizade Mustafa Efendi)
Turkey,TRY_20,TRY_20.png,Kemaleddin
Turkey,TRY_100_1,TRY_100_1.png,Kemal Atatürk
United States,USD_1,USD_1.png,George Washington
United States,USD_10,USD_10.png,Alexander Hamilton
United States,USD_100,USD_100.png,Benjamin Franklin
United States,USD_5,USD_5.png,Abraham Lincoln
South Africa,ZAR_10,ZAR_10.png,Nelson Mandela
South Africa,ZAR_20,ZAR_20.png,Nelson Mandela
South Africa,ZAR_50,ZAR_50.png,Nelson Mandela
South Africa,ZAR_100,ZAR_100.png,Nelson Mandela